best m,c is 1.660000,10.940000 with error 12.915930 in direction 0
best m,c is 1.660000,10.950000 with error 12.912587 in direction 0
best m,c is 1.660000,10.960000 with error 12.909251 in direction 0
best m,c is 1.660000,10.970000 with error 12.905922 in direction 0
best m,c is 1.660000,10.980000 with error 12.902600 in direction 0
best m,c is 1.660000,10.990000 with error 12.899285 in direction 0
best m,c is 1.660000,11.000000 with error 12.895976 in direction 0
best m,c is 1.660000,11.010000 with error 12.892675 in direction 0
best m,c is 1.660000,11.020000 with error 12.889380 in direction 0
best m,c is 1.660000,11.030000 with error 12.886093 in direction 0
best m,c is 1.660000,11.040000 with error 12.882812 in direction 0
best m,c is 1.660000,11.050000 with error 12.879538 in direction 0
best m,c is 1.660000,11.060000 with error 12.876271 in direction 0
best m,c is 1.660000,11.070000 with error 12.873011 in direction 0
best m,c is 1.660000,11.080000 with error 12.869758 in direction 0
best m,c is 1.660000,11.090000 with error 12.866512 in direction 0
best m,c is 1.660000,11.100000 with error 12.863273 in direction 0
best m,c is 1.660000,11.110000 with error 12.860041 in direction 0
best m,c is 1.660000,11.120000 with error 12.856816 in direction 0
best m,c is 1.660000,11.130000 with error 12.853598 in direction 0
best m,c is 1.660000,11.140000 with error 12.850386 in direction 0
best m,c is 1.660000,11.150000 with error 12.847182 in direction 0
best m,c is 1.660000,11.160000 with error 12.843985 in direction 0
best m,c is 1.660000,11.170000 with error 12.840795 in direction 0
best m,c is 1.660000,11.180000 with error 12.837611 in direction 0
best m,c is 1.660000,11.190000 with error 12.834435 in direction 0
best m,c is 1.660000,11.200000 with error 12.831266 in direction 0
best m,c is 1.660000,11.210000 with error 12.828103 in direction 0
best m,c is 1.660000,11.220000 with error 12.824948 in direction 0
best m,c is 1.660000,11.230000 with error 12.821800 in direction 0
best m,c is 1.660000,11.240000 with error 12.818659 in direction 0
best m,c is 1.660000,11.250000 with error 12.815525 in direction 0
best m,c is 1.660000,11.260000 with error 12.812398 in direction 0
best m,c is 1.660000,11.270000 with error 12.809278 in direction 0
best m,c is 1.660000,11.280000 with error 12.806165 in direction 0
best m,c is 1.660000,11.290000 with error 12.803059 in direction 0
best m,c is 1.660000,11.300000 with error 12.799960 in direction 0
best m,c is 1.660000,11.310000 with error 12.796868 in direction 0
best m,c is 1.660000,11.320000 with error 12.793783 in direction 0
best m,c is 1.660000,11.330000 with error 12.790705 in direction 0
best m,c is 1.660000,11.340000 with error 12.787635 in direction 0
best m,c is 1.660000,11.350000 with error 12.784571 in direction 0
best m,c is 1.660000,11.360000 with error 12.781515 in direction 0
best m,c is 1.660000,11.370000 with error 12.778465 in direction 0
best m,c is 1.660000,11.380000 with error 12.775423 in direction 0
best m,c is 1.660000,11.390000 with error 12.772388 in direction 0
best m,c is 1.660000,11.400000 with error 12.769360 in direction 0
best m,c is 1.660000,11.410000 with error 12.766339 in direction 0
best m,c is 1.650000,11.420000 with error 12.763236 in direction 7
best m,c is 1.650000,11.430000 with error 12.759840 in direction 0
best m,c is 1.650000,11.440000 with error 12.756452 in direction 0
best m,c is 1.650000,11.450000 with error 12.753071 in direction 0
best m,c is 1.650000,11.460000 with error 12.749696 in direction 0
best m,c is 1.650000,11.470000 with error 12.746329 in direction 0
best m,c is 1.650000,11.480000 with error 12.742968 in direction 0
best m,c is 1.650000,11.490000 with error 12.739615 in direction 0
best m,c is 1.650000,11.500000 with error 12.736268 in direction 0
best m,c is 1.650000,11.510000 with error 12.732929 in direction 0
best m,c is 1.650000,11.520000 with error 12.729596 in direction 0
best m,c is 1.650000,11.530000 with error 12.726271 in direction 0
best m,c is 1.650000,11.540000 with error 12.722952 in direction 0
best m,c is 1.650000,11.550000 with error 12.719640 in direction 0
best m,c is 1.650000,11.560000 with error 12.716336 in direction 0
best m,c is 1.650000,11.570000 with error 12.713038 in direction 0
best m,c is 1.650000,11.580000 with error 12.709747 in direction 0
best m,c is 1.650000,11.590000 with error 12.706464 in direction 0
best m,c is 1.650000,11.600000 with error 12.703187 in direction 0
best m,c is 1.650000,11.610000 with error 12.699918 in direction 0
best m,c is 1.650000,11.620000 with error 12.696655 in direction 0
best m,c is 1.650000,11.630000 with error 12.693400 in direction 0
best m,c is 1.650000,11.640000 with error 12.690151 in direction 0
best m,c is 1.650000,11.650000 with error 12.686910 in direction 0
best m,c is 1.650000,11.660000 with error 12.683675 in direction 0
best m,c is 1.650000,11.670000 with error 12.680448 in direction 0
best m,c is 1.650000,11.680000 with error 12.677228 in direction 0
best m,c is 1.650000,11.690000 with error 12.674015 in direction 0
best m,c is 1.650000,11.700000 with error 12.670809 in direction 0
best m,c is 1.650000,11.710000 with error 12.667610 in direction 0
best m,c is 1.650000,11.720000 with error 12.664418 in direction 0
best m,c is 1.650000,11.730000 with error 12.661233 in direction 0
best m,c is 1.650000,11.740000 with error 12.658056 in direction 0
best m,c is 1.650000,11.750000 with error 12.654885 in direction 0
best m,c is 1.650000,11.760000 with error 12.651721 in direction 0
best m,c is 1.650000,11.770000 with error 12.648565 in direction 0
best m,c is 1.650000,11.780000 with error 12.645416 in direction 0
best m,c is 1.650000,11.790000 with error 12.642274 in direction 0
best m,c is 1.650000,11.800000 with error 12.639139 in direction 0
best m,c is 1.650000,11.810000 with error 12.636011 in direction 0
best m,c is 1.650000,11.820000 with error 12.632890 in direction 0
best m,c is 1.650000,11.830000 with error 12.629777 in direction 0
best m,c is 1.650000,11.840000 with error 12.626670 in direction 0
best m,c is 1.650000,11.850000 with error 12.623571 in direction 0
best m,c is 1.650000,11.860000 with error 12.620479 in direction 0
best m,c is 1.650000,11.870000 with error 12.617394 in direction 0
best m,c is 1.650000,11.880000 with error 12.614316 in direction 0
best m,c is 1.650000,11.890000 with error 12.611246 in direction 0
best m,c is 1.650000,11.900000 with error 12.608182 in direction 0
best m,c is 1.650000,11.910000 with error 12.605126 in direction 0
best m,c is 1.650000,11.920000 with error 12.602077 in direction 0
best m,c is 1.650000,11.930000 with error 12.599035 in direction 0
best m,c is 1.650000,11.940000 with error 12.596001 in direction 0
best m,c is 1.650000,11.950000 with error 12.592973 in direction 0
best m,c is 1.650000,11.960000 with error 12.589953 in direction 0
best m,c is 1.650000,11.970000 with error 12.586940 in direction 0
best m,c is 1.650000,11.980000 with error 12.583935 in direction 0
best m,c is 1.650000,11.990000 with error 12.580936 in direction 0
best m,c is 1.650000,12.000000 with error 12.577945 in direction 0
best m,c is 1.650000,12.010000 with error 12.574961 in direction 0
best m,c is 1.650000,12.020000 with error 12.571984 in direction 0
best m,c is 1.650000,12.030000 with error 12.569015 in direction 0
best m,c is 1.650000,12.040000 with error 12.566052 in direction 0
best m,c is 1.650000,12.050000 with error 12.563097 in direction 0
best m,c is 1.650000,12.060000 with error 12.560150 in direction 0
best m,c is 1.650000,12.070000 with error 12.557209 in direction 0
best m,c is 1.640000,12.080000 with error 12.554194 in direction 7
best m,c is 1.640000,12.090000 with error 12.550873 in direction 0
best m,c is 1.640000,12.100000 with error 12.547559 in direction 0
best m,c is 1.640000,12.110000 with error 12.544252 in direction 0
best m,c is 1.640000,12.120000 with error 12.540952 in direction 0
best m,c is 1.640000,12.130000 with error 12.537660 in direction 0
best m,c is 1.640000,12.140000 with error 12.534374 in direction 0
best m,c is 1.640000,12.150000 with error 12.531096 in direction 0
best m,c is 1.640000,12.160000 with error 12.527825 in direction 0
best m,c is 1.640000,12.170000 with error 12.524561 in direction 0
best m,c is 1.640000,12.180000 with error 12.521304 in direction 0
best m,c is 1.640000,12.190000 with error 12.518054 in direction 0
best m,c is 1.640000,12.200000 with error 12.514812 in direction 0
best m,c is 1.640000,12.210000 with error 12.511576 in direction 0
best m,c is 1.640000,12.220000 with error 12.508348 in direction 0
best m,c is 1.640000,12.230000 with error 12.505127 in direction 0
best m,c is 1.640000,12.240000 with error 12.501913 in direction 0
best m,c is 1.640000,12.250000 with error 12.498706 in direction 0
best m,c is 1.640000,12.260000 with error 12.495506 in direction 0
best m,c is 1.640000,12.270000 with error 12.492314 in direction 0
best m,c is 1.640000,12.280000 with error 12.489129 in direction 0
best m,c is 1.640000,12.290000 with error 12.485951 in direction 0
best m,c is 1.640000,12.300000 with error 12.482780 in direction 0
best m,c is 1.640000,12.310000 with error 12.479616 in direction 0
best m,c is 1.640000,12.320000 with error 12.476460 in direction 0
best m,c is 1.640000,12.330000 with error 12.473310 in direction 0
